month,day,campaign_number,user_engagement,banner,placement,displays,cost,clicks,revenue,post_click_conversions,post_click_sales_amount,ctr,roi_computed,revenue_per_click
April,1,camp 1,High,160 x 600,abc,4,0.006,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 1,High,160 x 600,def,20170,26.7824,158,28.9717,23,1972.4602,0.7833,108.1744,0.1834
April,1,camp 1,High,160 x 600,ghi,14701,27.6304,158,28.9771,78,2497.2636,1.0748,104.874,0.1834
April,1,camp 1,High,160 x 600,mno,171259,216.875,1796,329.4518,617,24625.3234,1.0487,151.9086,0.1834
April,1,camp 1,Low,160 x 600,def,552,0.067,1,0.1834,0,0.0,0.1812,273.7313,0.1834
April,1,camp 1,Low,160 x 600,ghi,16,0.0249,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 1,Low,160 x 600,mno,2234,0.4044,10,1.8347,3,101.7494,0.4476,453.6845,0.1835
April,1,camp 1,Medium,160 x 600,def,2963,1.8899,4,0.7338,4,100.5044,0.135,38.8275,0.1835
April,1,camp 1,Medium,160 x 600,ghi,580,0.9917,9,1.6512,0,0.0,1.5517,166.502,0.1835
April,1,camp 1,Medium,160 x 600,mno,20152,11.1678,185,33.9397,13,653.1896,0.918,303.9068,0.1835
April,1,camp 1,High,240 x 400,def,56499,50.5157,309,56.6775,105,4288.6699,0.5469,112.1978,0.1834
April,1,camp 1,High,240 x 400,ghi,392142,351.9167,10237,1877.8227,2513,119601.4208,2.6105,533.5986,0.1834
April,1,camp 1,High,240 x 400,jkl,62395,30.2386,678,124.3631,173,10402.0618,1.0866,411.2727,0.1834
April,1,camp 1,High,240 x 400,mno,214074,432.5858,2120,388.8174,805,39654.6687,0.9903,89.8821,0.1834
April,1,camp 1,Low,240 x 400,def,671,0.0997,2,0.3669,0,0.0,0.2981,368.004,0.1835
April,1,camp 1,Low,240 x 400,ghi,1188,0.904,7,1.2843,2,145.5734,0.5892,142.0686,0.1835
April,1,camp 1,Low,240 x 400,jkl,380,0.1743,1,0.1834,1,211.5323,0.2632,105.2209,0.1834
April,1,camp 1,Low,240 x 400,mno,1789,0.4418,3,0.5504,0,0.0,0.1677,124.5813,0.1835
April,1,camp 1,Medium,240 x 400,def,6595,2.3886,30,5.5042,3,14.6254,0.4549,230.4362,0.1835
April,1,camp 1,Medium,240 x 400,ghi,25765,22.1996,696,127.6715,82,5851.2447,2.7013,575.1072,0.1834
April,1,camp 1,Medium,240 x 400,jkl,4595,2.2328,45,8.2563,5,392.7653,0.9793,369.7734,0.1835
April,1,camp 1,Medium,240 x 400,mno,18518,16.6353,158,28.9859,28,1735.5801,0.8532,174.2433,0.1835
April,1,camp 1,High,300 x 250,abc,11,0.0225,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 1,High,300 x 250,def,52381,54.8999,286,52.4647,99,4844.9065,0.546,95.5643,0.1834
April,1,camp 1,High,300 x 250,ghi,62042,42.1673,1164,213.5207,364,20272.775,1.8761,506.3656,0.1834
April,1,camp 1,High,300 x 250,jkl,10001,5.495,82,15.0419,27,1304.4818,0.8199,273.7379,0.1834
April,1,camp 1,High,300 x 250,mno,277579,336.111,2042,374.5268,754,45839.9536,0.7356,111.4295,0.1834
April,1,camp 1,Low,300 x 250,def,448,0.1226,2,0.3669,0,0.0,0.4464,299.2659,0.1835
April,1,camp 1,Low,300 x 250,ghi,112,0.0661,1,0.1834,0,0.0,0.8929,277.4584,0.1834
April,1,camp 1,Low,300 x 250,jkl,28,0.017,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 1,Low,300 x 250,mno,3841,0.7599,15,2.7521,7,1864.6591,0.3905,362.1661,0.1835
April,1,camp 1,Medium,300 x 250,def,5932,3.8013,30,5.4954,6,573.1474,0.5057,144.5663,0.1832
April,1,camp 1,Medium,300 x 250,ghi,2983,1.8454,82,15.039,1,29.2134,2.7489,814.9453,0.1834
April,1,camp 1,Medium,300 x 250,jkl,678,0.3841,4,0.7338,1,14.1537,0.59,191.044,0.1835
April,1,camp 1,Medium,300 x 250,mno,30998,17.3368,184,33.7474,12,1323.659,0.5936,194.6576,0.1834
April,1,camp 1,High,468 x 60,def,1182,0.7543,2,0.3669,1,30.8236,0.1692,48.6411,0.1835
April,1,camp 1,High,468 x 60,ghi,467,0.1835,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 1,High,468 x 60,jkl,7,0.0045,1,0.1834,0,0.0,14.2857,4075.5556,0.1834
April,1,camp 1,High,468 x 60,mno,4177,2.5521,7,1.2843,0,0.0,0.1676,50.3233,0.1835
April,1,camp 1,Low,468 x 60,def,7,0.0015,1,0.1834,0,0.0,14.2857,12226.6667,0.1834
April,1,camp 1,Low,468 x 60,mno,36,0.002,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 1,Medium,468 x 60,def,68,0.0102,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 1,Medium,468 x 60,ghi,14,0.0055,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 1,Medium,468 x 60,mno,502,0.1096,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 1,High,580 x 400,mno,52004,132.7561,1043,191.2989,401,15561.6075,2.0056,144.098,0.1834
April,1,camp 1,Low,580 x 400,mno,492,0.1722,6,1.1008,1,45.9209,1.2195,639.2567,0.1835
April,1,camp 1,Medium,580 x 400,mno,4795,6.0088,60,11.0055,8,767.8439,1.2513,183.1564,0.1834
April,1,camp 1,High,670 x 90,def,5270,8.8886,56,10.2745,39,776.4618,1.0626,115.5919,0.1835
April,1,camp 1,High,670 x 90,ghi,20898,16.8185,165,30.2614,63,2214.2764,0.7895,179.9292,0.1834
April,1,camp 1,High,670 x 90,jkl,434,0.308,3,0.5504,0,0.0,0.6912,178.7013,0.1835
April,1,camp 1,High,670 x 90,mno,20161,31.6511,176,32.2884,92,3989.2796,0.873,102.0135,0.1835
April,1,camp 1,Low,670 x 90,def,45,0.0111,1,0.1834,0,0.0,2.2222,1652.2523,0.1834
April,1,camp 1,Low,670 x 90,ghi,21,0.0135,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 1,Low,670 x 90,jkl,3,0.0015,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 1,Low,670 x 90,mno,175,0.0204,1,0.1834,0,0.0,0.5714,899.0196,0.1834
April,1,camp 1,Medium,670 x 90,def,441,0.3654,7,1.2843,0,0.0,1.5873,351.4778,0.1835
April,1,camp 1,Medium,670 x 90,ghi,1233,0.9526,9,1.6512,2,183.3429,0.7299,173.3361,0.1835
April,1,camp 1,Medium,670 x 90,jkl,84,0.058,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 1,Medium,670 x 90,mno,1978,1.3976,13,2.3851,0,0.0,0.6572,170.6568,0.1835
April,1,camp 1,High,728 x 90,abc,20,0.0284,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 1,High,728 x 90,def,77942,74.7667,410,75.1528,121,6710.2429,0.526,100.5164,0.1833
April,1,camp 1,High,728 x 90,ghi,221002,292.8014,3384,620.7497,1179,59726.9939,1.5312,212.0037,0.1834
April,1,camp 1,High,728 x 90,jkl,32546,13.5669,254,46.5936,93,5418.0655,0.7804,343.4359,0.1834
April,1,camp 1,High,728 x 90,mno,428642,424.0715,2961,543.1365,1239,57545.6564,0.6908,128.0766,0.1834
April,1,camp 1,Low,728 x 90,def,824,0.1407,4,0.7338,0,0.0,0.4854,521.5352,0.1835
April,1,camp 1,Low,728 x 90,ghi,366,0.4347,3,0.5504,0,0.0,0.8197,126.6161,0.1835
April,1,camp 1,Low,728 x 90,jkl,149,0.06,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 1,Low,728 x 90,mno,5689,1.099,10,1.8288,1,12.7891,0.1758,166.4058,0.1829
April,1,camp 1,Medium,728 x 90,abc,1,0.0015,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 1,Medium,728 x 90,def,8165,3.8733,34,6.2381,1,72.0659,0.4164,161.0539,0.1835
April,1,camp 1,Medium,728 x 90,ghi,10611,13.1693,179,32.833,32,1587.3458,1.6869,249.3147,0.1834
April,1,camp 1,Medium,728 x 90,jkl,2741,1.1191,31,5.6876,2,85.7347,1.131,508.2298,0.1835
April,1,camp 1,Medium,728 x 90,mno,50040,23.4219,309,56.665,31,2749.2091,0.6175,241.9317,0.1834
April,1,camp 1,High,800 x 250,mno,21,0.0235,1,0.1834,0,0.0,4.7619,780.4255,0.1834
April,1,camp 1,Medium,800 x 250,mno,1,0.0017,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 2,Low,160 x 600,def,6745,0.5595,21,0.8256,0,0.0,0.3113,147.5603,0.0393
April,1,camp 2,Low,160 x 600,ghi,99,0.1207,1,0.0393,0,0.0,1.0101,32.5601,0.0393
April,1,camp 2,Low,160 x 600,mno,50107,5.9831,367,14.427,3,66.5661,0.7324,241.1292,0.0393
April,1,camp 2,Medium,160 x 600,abc,7,0.0085,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 2,Medium,160 x 600,def,22075,5.1608,321,12.6178,4,269.4696,1.4541,244.4931,0.0393
